t_min,glucose_true_mg_dl,sensor_mg_dl,sensor_valid,carbs_g_step,iir_u_per_h,exercise_pct,hr_bpm
0.0000,100.3006,99.5511,1,0.0000,0.5000,0.0000,80.0000
1.0000,100.5999,0.0000,0,0.0000,0.5000,0.0000,80.0000
2.0000,100.8981,0.0000,0,0.0000,0.5000,0.0000,80.0000
3.0000,101.1950,0.0000,0,0.0000,0.5000,0.0000,80.0000
4.0000,101.4907,0.0000,0,0.0000,0.5000,0.0000,80.0000
5.0000,101.7852,102.9404,1,0.0000,0.5000,0.0000,80.0000
6.0000,102.0786,0.0000,0,0.0000,0.5000,0.0000,80.0000
7.0000,102.3707,0.0000,0,0.0000,0.5000,0.0000,80.0000
8.0000,102.6617,0.0000,0,0.0000,0.5000,0.0000,80.0000
9.0000,102.9515,0.0000,0,0.0000,0.5000,0.0000,80.0000
10.0000,103.2401,101.9003,1,0.0000,0.5000,0.0000,80.0000
11.0000,103.5276,0.0000,0,0.0000,0.5000,0.0000,80.0000
12.0000,103.8139,0.0000,0,0.0000,0.5000,0.0000,80.0000
13.0000,104.0990,0.0000,0,0.0000,0.5000,0.0000,80.0000
14.0000,104.3830,0.0000,0,0.0000,0.5000,0.0000,80.0000
15.0000,104.6658,104.4778,1,0.0000,0.5000,0.0000,80.0000
16.0000,104.9475,0.0000,0,0.0000,0.5000,0.0000,80.0000
17.0000,105.2281,0.0000,0,0.0000,0.5000,0.0000,80.0000
18.0000,105.5075,0.0000,0,0.0000,0.5000,0.0000,80.0000
19.0000,105.7857,0.0000,0,0.0000,0.5000,0.0000,80.0000
20.0000,106.0629,105.9713,1,0.0000,0.5000,0.0000,80.0000
21.0000,106.3389,0.0000,0,0.0000,0.5000,0.0000,80.0000
22.0000,106.6139,0.0000,0,0.0000,0.5000,0.0000,80.0000
23.0000,106.8877,0.0000,0,0.0000,0.5000,0.0000,80.0000
24.0000,107.1604,0.0000,0,0.0000,0.5000,0.0000,80.0000
25.0000,107.4319,106.9345,1,0.0000,0.5000,0.0000,80.0000
26.0000,107.7024,0.0000,0,0.0000,0.5000,0.0000,80.0000
27.0000,107.9718,0.0000,0,0.0000,0.5000,0.0000,80.0000
28.0000,108.2401,0.0000,0,0.0000,0.5000,0.0000,80.0000
29.0000,108.5074,0.0000,0,0.0000,0.5000,0.0000,80.0000
30.0000,108.7735,107.1008,1,0.0000,0.5000,0.0000,80.0000
31.0000,109.0386,0.0000,0,0.0000,0.5000,0.0000,80.0000
32.0000,109.3026,0.0000,0,0.0000,0.5000,0.0000,80.0000
33.0000,109.5655,0.0000,0,0.0000,0.5000,0.0000,80.0000
34.0000,109.8274,0.0000,0,0.0000,0.5000,0.0000,80.0000
35.0000,110.0882,110.0755,1,0.0000,0.5000,0.0000,80.0000
36.0000,110.3479,0.0000,0,0.0000,0.5000,0.0000,80.0000
37.0000,110.6066,0.0000,0,0.0000,0.5000,0.0000,80.0000
38.0000,110.8642,0.0000,0,0.0000,0.5000,0.0000,80.0000
39.0000,111.1208,0.0000,0,0.0000,0.5000,0.0000,80.0000
40.0000,111.3764,113.4860,1,0.0000,0.5000,0.0000,80.0000
41.0000,111.6309,0.0000,0,0.0000,0.5000,0.0000,80.0000
42.0000,111.8844,0.0000,0,0.0000,0.5000,0.0000,80.0000
43.0000,112.1369,0.0000,0,0.0000,0.5000,0.0000,80.0000
44.0000,112.3884,0.0000,0,0.0000,0.5000,0.0000,80.0000
45.0000,112.6388,116.3023,1,0.0000,0.5000,0.0000,80.0000
46.0000,112.8882,0.0000,0,0.0000,0.5000,0.0000,80.0000
47.0000,113.1367,0.0000,0,0.0000,0.5000,0.0000,80.0000
48.0000,113.3841,0.0000,0,0.0000,0.5000,0.0000,80.0000
49.0000,113.6305,0.0000,0,0.0000,0.5000,0.0000,80.0000
50.0000,113.8759,113.6448,1,0.0000,0.5000,0.0000,80.0000
51.0000,114.1203,0.0000,0,0.0000,0.5000,0.0000,80.0000
52.0000,114.3637,0.0000,0,0.0000,0.5000,0.0000,80.0000
53.0000,114.6062,0.0000,0,0.0000,0.5000,0.0000,80.0000
54.0000,114.8476,0.0000,0,0.0000,0.5000,0.0000,80.0000
55.0000,115.0881,116.7672,1,0.0000,0.5000,0.0000,80.0000
56.0000,115.3276,0.0000,0,0.0000,0.5000,0.0000,80.0000
57.0000,115.5662,0.0000,0,0.0000,0.5000,0.0000,80.0000
58.0000,115.8038,0.0000,0,0.0000,0.5000,0.0000,80.0000
59.0000,116.0404,0.0000,0,0.0000,0.5000,0.0000,80.0000
60.0000,116.2760,116.5529,1,4.0000,72.5000,0.0000,80.0000
61.0000,116.5108,0.0000,0,4.0000,72.5000,0.0000,80.0000
62.0000,116.7524,0.0000,0,4.0000,72.5000,0.0000,80.0000
63.0000,117.0088,0.0000,0,4.0000,72.5000,0.0000,80.0000
64.0000,117.2871,0.0000,0,4.0000,72.5000,0.0000,80.0000
65.0000,117.5944,116.6954,1,4.0000,0.5000,0.0000,80.0000
66.0000,117.9374,0.0000,0,4.0000,0.5000,0.0000,80.0000
67.0000,118.3226,0.0000,0,4.0000,0.5000,0.0000,80.0000
68.0000,118.7561,0.0000,0,4.0000,0.5000,0.0000,80.0000
69.0000,119.2436,0.0000,0,4.0000,0.5000,0.0000,80.0000
70.0000,119.7908,121.3838,1,4.0000,0.5000,0.0000,80.0000
71.0000,120.4027,0.0000,0,4.0000,0.5000,0.0000,80.0000
72.0000,121.0845,0.0000,0,4.0000,0.5000,0.0000,80.0000
73.0000,121.8407,0.0000,0,4.0000,0.5000,0.0000,80.0000
74.0000,122.6759,0.0000,0,4.0000,0.5000,0.0000,80.0000
75.0000,123.5943,124.7912,1,0.0000,0.5000,0.0000,80.0000
76.0000,124.5998,0.0000,0,0.0000,0.5000,0.0000,80.0000
77.0000,125.6882,0.0000,0,0.0000,0.5000,0.0000,80.0000
78.0000,126.8554,0.0000,0,0.0000,0.5000,0.0000,80.0000
79.0000,128.0973,0.0000,0,0.0000,0.5000,0.0000,80.0000
80.0000,129.4100,131.3368,1,0.0000,0.5000,0.0000,80.0000
81.0000,130.7894,0.0000,0,0.0000,0.5000,0.0000,80.0000
82.0000,132.2319,0.0000,0,0.0000,0.5000,0.0000,80.0000
83.0000,133.7334,0.0000,0,0.0000,0.5000,0.0000,80.0000
84.0000,135.2905,0.0000,0,0.0000,0.5000,0.0000,80.0000
85.0000,136.8993,138.2454,1,0.0000,0.5000,0.0000,80.0000
86.0000,138.5563,0.0000,0,0.0000,0.5000,0.0000,80.0000
87.0000,140.2579,0.0000,0,0.0000,0.5000,0.0000,80.0000
88.0000,142.0008,0.0000,0,0.0000,0.5000,0.0000,80.0000
89.0000,143.7814,0.0000,0,0.0000,0.5000,0.0000,80.0000
90.0000,145.5964,146.0418,1,0.0000,0.5000,0.0000,80.0000
91.0000,147.4427,0.0000,0,0.0000,0.5000,0.0000,80.0000
92.0000,149.3168,0.0000,0,0.0000,0.5000,0.0000,80.0000
93.0000,151.2157,0.0000,0,0.0000,0.5000,0.0000,80.0000
94.0000,153.1364,0.0000,0,0.0000,0.5000,0.0000,80.0000
95.0000,155.0757,153.7590,1,0.0000,0.5000,0.0000,80.0000
96.0000,157.0307,0.0000,0,0.0000,0.5000,0.0000,80.0000
97.0000,158.9986,0.0000,0,0.0000,0.5000,0.0000,80.0000
98.0000,160.9764,0.0000,0,0.0000,0.5000,0.0000,80.0000
99.0000,162.9615,0.0000,0,0.0000,0.5000,0.0000,80.0000
100.0000,164.9511,165.7640,1,0.0000,0.5000,0.0000,80.0000
101.0000,166.9427,0.0000,0,0.0000,0.5000,0.0000,80.0000
102.0000,168.9336,0.0000,0,0.0000,0.5000,0.0000,80.0000
103.0000,170.9214,0.0000,0,0.0000,0.5000,0.0000,80.0000
104.0000,172.9036,0.0000,0,0.0000,0.5000,0.0000,80.0000
105.0000,174.8780,173.6223,1,0.0000,0.5000,0.0000,80.0000
106.0000,176.8422,0.0000,0,0.0000,0.5000,0.0000,80.0000
107.0000,178.7940,0.0000,0,0.0000,0.5000,0.0000,80.0000
108.0000,180.7313,0.0000,0,0.0000,0.5000,0.0000,80.0000
109.0000,182.6522,0.0000,0,0.0000,0.5000,0.0000,80.0000
110.0000,184.5544,186.6599,1,0.0000,0.5000,0.0000,80.0000
111.0000,186.4363,0.0000,0,0.0000,0.5000,0.0000,80.0000
112.0000,188.2959,0.0000,0,0.0000,0.5000,0.0000,80.0000
113.0000,190.1314,0.0000,0,0.0000,0.5000,0.0000,80.0000
114.0000,191.9413,0.0000,0,0.0000,0.5000,0.0000,80.0000
115.0000,193.7238,197.6285,1,0.0000,0.5000,0.0000,80.0000
116.0000,195.4775,0.0000,0,0.0000,0.5000,0.0000,80.0000
117.0000,197.2009,0.0000,0,0.0000,0.5000,0.0000,80.0000
118.0000,198.8927,0.0000,0,0.0000,0.5000,0.0000,80.0000
119.0000,200.5514,0.0000,0,0.0000,0.5000,0.0000,80.0000
120.0000,202.1758,201.4673,1,0.0000,0.5000,0.0000,80.0000
121.0000,203.7649,0.0000,0,0.0000,0.5000,0.0000,80.0000
122.0000,205.3176,0.0000,0,0.0000,0.5000,0.0000,80.0000
123.0000,206.8327,0.0000,0,0.0000,0.5000,0.0000,80.0000
124.0000,208.3094,0.0000,0,0.0000,0.5000,0.0000,80.0000
125.0000,209.7468,205.7417,1,0.0000,0.5000,0.0000,80.0000
126.0000,211.1441,0.0000,0,0.0000,0.5000,0.0000,80.0000
127.0000,212.5005,0.0000,0,0.0000,0.5000,0.0000,80.0000
128.0000,213.8154,0.0000,0,0.0000,0.5000,0.0000,80.0000
129.0000,215.0883,0.0000,0,0.0000,0.5000,0.0000,80.0000
130.0000,216.3185,216.2361,1,0.0000,0.5000,0.0000,80.0000
131.0000,217.5056,0.0000,0,0.0000,0.5000,0.0000,80.0000
132.0000,218.6493,0.0000,0,0.0000,0.5000,0.0000,80.0000
133.0000,219.7491,0.0000,0,0.0000,0.5000,0.0000,80.0000
134.0000,220.8048,0.0000,0,0.0000,0.5000,0.0000,80.0000
135.0000,221.8161,221.8782,1,0.0000,0.5000,0.0000,80.0000
136.0000,222.7829,0.0000,0,0.0000,0.5000,0.0000,80.0000
137.0000,223.7052,0.0000,0,0.0000,0.5000,0.0000,80.0000
138.0000,224.5828,0.0000,0,0.0000,0.5000,0.0000,80.0000
139.0000,225.4157,0.0000,0,0.0000,0.5000,0.0000,80.0000
140.0000,226.2040,226.9933,1,0.0000,0.5000,0.0000,80.0000
141.0000,226.9478,0.0000,0,0.0000,0.5000,0.0000,80.0000
142.0000,227.6472,0.0000,0,0.0000,0.5000,0.0000,80.0000
143.0000,228.3025,0.0000,0,0.0000,0.5000,0.0000,80.0000
144.0000,228.9138,0.0000,0,0.0000,0.5000,0.0000,80.0000
145.0000,229.4814,232.1891,1,0.0000,0.5000,0.0000,80.0000
146.0000,230.0057,0.0000,0,0.0000,0.5000,0.0000,80.0000
147.0000,230.4870,0.0000,0,0.0000,0.5000,0.0000,80.0000
148.0000,230.9258,0.0000,0,0.0000,0.5000,0.0000,80.0000
149.0000,231.3223,0.0000,0,0.0000,0.5000,0.0000,80.0000
150.0000,231.6771,233.7111,1,0.0000,0.5000,0.0000,80.0000
151.0000,231.9907,0.0000,0,0.0000,0.5000,0.0000,80.0000
152.0000,232.2636,0.0000,0,0.0000,0.5000,0.0000,80.0000
153.0000,232.4964,0.0000,0,0.0000,0.5000,0.0000,80.0000
154.0000,232.6895,0.0000,0,0.0000,0.5000,0.0000,80.0000
155.0000,232.8437,235.0696,1,0.0000,0.5000,0.0000,80.0000
156.0000,232.9595,0.0000,0,0.0000,0.5000,0.0000,80.0000
157.0000,233.0376,0.0000,0,0.0000,0.5000,0.0000,80.0000
158.0000,233.0786,0.0000,0,0.0000,0.5000,0.0000,80.0000
159.0000,233.0832,0.0000,0,0.0000,0.5000,0.0000,80.0000
160.0000,233.0521,236.1364,1,0.0000,0.5000,0.0000,80.0000
161.0000,232.9860,0.0000,0,0.0000,0.5000,0.0000,80.0000
162.0000,232.8856,0.0000,0,0.0000,0.5000,0.0000,80.0000
163.0000,232.7517,0.0000,0,0.0000,0.5000,0.0000,80.0000
164.0000,232.5849,0.0000,0,0.0000,0.5000,0.0000,80.0000
165.0000,232.3861,234.2939,1,0.0000,0.5000,0.0000,80.0000
166.0000,232.1560,0.0000,0,0.0000,0.5000,0.0000,80.0000
167.0000,231.8954,0.0000,0,0.0000,0.5000,0.0000,80.0000
168.0000,231.6050,0.0000,0,0.0000,0.5000,0.0000,80.0000
169.0000,231.2855,0.0000,0,0.0000,0.5000,0.0000,80.0000
170.0000,230.9379,229.2753,1,0.0000,0.5000,0.0000,80.0000
171.0000,230.5628,0.0000,0,0.0000,0.5000,0.0000,80.0000
172.0000,230.1610,0.0000,0,0.0000,0.5000,0.0000,80.0000
173.0000,229.7333,0.0000,0,0.0000,0.5000,0.0000,80.0000
174.0000,229.2805,0.0000,0,0.0000,0.5000,0.0000,80.0000
175.0000,228.8033,224.2732,1,0.0000,0.5000,0.0000,80.0000
176.0000,228.3026,0.0000,0,0.0000,0.5000,0.0000,80.0000
177.0000,227.7790,0.0000,0,0.0000,0.5000,0.0000,80.0000
178.0000,227.2334,0.0000,0,0.0000,0.5000,0.0000,80.0000
179.0000,226.6664,0.0000,0,0.0000,0.5000,0.0000,80.0000
180.0000,226.0789,221.3594,1,0.0000,0.5000,0.0000,80.0000
181.0000,225.4716,0.0000,0,0.0000,0.5000,0.0000,80.0000
182.0000,224.8452,0.0000,0,0.0000,0.5000,0.0000,80.0000
183.0000,224.2004,0.0000,0,0.0000,0.5000,0.0000,80.0000
184.0000,223.5380,0.0000,0,0.0000,0.5000,0.0000,80.0000
185.0000,222.8586,225.4983,1,0.0000,0.5000,0.0000,80.0000
186.0000,222.1631,0.0000,0,0.0000,0.5000,0.0000,80.0000
187.0000,221.4519,0.0000,0,0.0000,0.5000,0.0000,80.0000
188.0000,220.7259,0.0000,0,0.0000,0.5000,0.0000,80.0000
189.0000,219.9857,0.0000,0,0.0000,0.5000,0.0000,80.0000
190.0000,219.2320,220.6125,1,0.0000,0.5000,0.0000,80.0000
191.0000,218.4653,0.0000,0,0.0000,0.5000,0.0000,80.0000
192.0000,217.6864,0.0000,0,0.0000,0.5000,0.0000,80.0000
193.0000,216.8959,0.0000,0,0.0000,0.5000,0.0000,80.0000
194.0000,216.0943,0.0000,0,0.0000,0.5000,0.0000,80.0000
195.0000,215.2823,216.2207,1,0.0000,0.5000,0.0000,80.0000
196.0000,214.4604,0.0000,0,0.0000,0.5000,0.0000,80.0000
197.0000,213.6293,0.0000,0,0.0000,0.5000,0.0000,80.0000
198.0000,212.7895,0.0000,0,0.0000,0.5000,0.0000,80.0000
199.0000,211.9415,0.0000,0,0.0000,0.5000,0.0000,80.0000
200.0000,211.0859,209.6071,1,0.0000,0.5000,0.0000,140.0000
201.0000,209.3131,0.0000,0,0.0000,0.5000,0.0000,140.0000
202.0000,206.8231,0.0000,0,0.0000,0.5000,0.0000,140.0000
203.0000,203.7828,0.0000,0,0.0000,0.5000,0.0000,140.0000
204.0000,200.3287,0.0000,0,0.0000,0.5000,0.0000,140.0000
205.0000,196.5717,196.2331,1,0.0000,0.5000,0.0000,140.0000
206.0000,192.6007,0.0000,0,0.0000,0.5000,0.0000,140.0000
207.0000,188.4866,0.0000,0,0.0000,0.5000,0.0000,140.0000
208.0000,184.2852,0.0000,0,0.0000,0.5000,0.0000,140.0000
209.0000,180.0407,0.0000,0,0.0000,0.5000,0.0000,140.0000
210.0000,175.7872,172.0794,1,0.0000,0.5000,0.0000,140.0000
211.0000,171.5516,0.0000,0,0.0000,0.5000,0.0000,140.0000
212.0000,167.3542,0.0000,0,0.0000,0.5000,0.0000,140.0000
213.0000,163.2107,0.0000,0,0.0000,0.5000,0.0000,140.0000
214.0000,159.1329,0.0000,0,0.0000,0.5000,0.0000,140.0000
215.0000,155.1295,154.5245,1,0.0000,0.5000,0.0000,140.0000
216.0000,151.2071,0.0000,0,0.0000,0.5000,0.0000,140.0000
217.0000,147.3701,0.0000,0,0.0000,0.5000,0.0000,140.0000
218.0000,143.6215,0.0000,0,0.0000,0.5000,0.0000,140.0000
219.0000,139.9634,0.0000,0,0.0000,0.5000,0.0000,140.0000
220.0000,136.3967,137.1000,1,0.0000,0.5000,0.0000,140.0000
221.0000,132.9219,0.0000,0,0.0000,0.5000,0.0000,140.0000
222.0000,129.5387,0.0000,0,0.0000,0.5000,0.0000,140.0000
223.0000,126.2464,0.0000,0,0.0000,0.5000,0.0000,140.0000
224.0000,123.0442,0.0000,0,0.0000,0.5000,0.0000,140.0000
225.0000,119.9308,120.3420,1,0.0000,0.5000,0.0000,140.0000
226.0000,116.9049,0.0000,0,0.0000,0.5000,0.0000,140.0000
227.0000,113.9649,0.0000,0,0.0000,0.5000,0.0000,140.0000
228.0000,111.1092,0.0000,0,0.0000,0.5000,0.0000,140.0000
229.0000,108.3360,0.0000,0,0.0000,0.5000,0.0000,140.0000
230.0000,105.6436,107.6270,1,0.0000,0.5000,0.0000,80.0000
231.0000,103.4857,0.0000,0,0.0000,0.5000,0.0000,80.0000
232.0000,101.7377,0.0000,0,0.0000,0.5000,0.0000,80.0000
233.0000,100.3061,0.0000,0,0.0000,0.5000,0.0000,80.0000
234.0000,99.1203,0.0000,0,0.0000,0.5000,0.0000,80.0000
235.0000,98.1258,101.4786,1,0.0000,0.5000,0.0000,80.0000
236.0000,97.2811,0.0000,0,0.0000,0.5000,0.0000,80.0000
237.0000,96.5537,0.0000,0,0.0000,0.5000,0.0000,80.0000
238.0000,95.9183,0.0000,0,0.0000,0.5000,0.0000,80.0000
239.0000,95.3553,0.0000,0,0.0000,0.5000,0.0000,80.0000
240.0000,94.8490,92.5704,1,0.0000,0.5000,0.0000,80.0000
241.0000,94.3875,0.0000,0,0.0000,0.5000,0.0000,80.0000
242.0000,93.9610,0.0000,0,0.0000,0.5000,0.0000,80.0000
243.0000,93.5620,0.0000,0,0.0000,0.5000,0.0000,80.0000
244.0000,93.1847,0.0000,0,0.0000,0.5000,0.0000,80.0000
245.0000,92.8243,89.6225,1,0.0000,0.5000,0.0000,80.0000
246.0000,92.4772,0.0000,0,0.0000,0.5000,0.0000,80.0000
247.0000,92.1404,0.0000,0,0.0000,0.5000,0.0000,80.0000
248.0000,91.8117,0.0000,0,0.0000,0.5000,0.0000,80.0000
249.0000,91.4894,0.0000,0,0.0000,0.5000,0.0000,80.0000
250.0000,91.1720,87.8391,1,0.0000,0.5000,0.0000,80.0000
251.0000,90.8586,0.0000,0,0.0000,0.5000,0.0000,80.0000
252.0000,90.5482,0.0000,0,0.0000,0.5000,0.0000,80.0000
253.0000,90.2403,0.0000,0,0.0000,0.5000,0.0000,80.0000
254.0000,89.9344,0.0000,0,0.0000,0.5000,0.0000,80.0000
255.0000,89.6302,92.4876,1,0.0000,0.5000,0.0000,80.0000
256.0000,89.3273,0.0000,0,0.0000,0.5000,0.0000,80.0000
257.0000,89.0257,0.0000,0,0.0000,0.5000,0.0000,80.0000
258.0000,88.7251,0.0000,0,0.0000,0.5000,0.0000,80.0000
259.0000,88.4256,0.0000,0,0.0000,0.5000,0.0000,80.0000
260.0000,88.1272,88.5522,1,0.0000,0.5000,0.0000,80.0000
261.0000,87.8297,0.0000,0,0.0000,0.5000,0.0000,80.0000
262.0000,87.5332,0.0000,0,0.0000,0.5000,0.0000,80.0000
263.0000,87.2377,0.0000,0,0.0000,0.5000,0.0000,80.0000
264.0000,86.9433,0.0000,0,0.0000,0.5000,0.0000,80.0000
265.0000,86.6500,85.3091,1,0.0000,0.5000,0.0000,80.0000
266.0000,86.3579,0.0000,0,0.0000,0.5000,0.0000,80.0000
267.0000,86.0671,0.0000,0,0.0000,0.5000,0.0000,80.0000
268.0000,85.7775,0.0000,0,0.0000,0.5000,0.0000,80.0000
269.0000,85.4893,0.0000,0,0.0000,0.5000,0.0000,80.0000
270.0000,85.2025,84.1638,1,0.0000,0.5000,0.0000,80.0000
271.0000,84.9172,0.0000,0,0.0000,0.5000,0.0000,80.0000
272.0000,84.6334,0.0000,0,0.0000,0.5000,0.0000,80.0000
273.0000,84.3512,0.0000,0,0.0000,0.5000,0.0000,80.0000
274.0000,84.0707,0.0000,0,0.0000,0.5000,0.0000,80.0000
275.0000,83.7919,80.1375,1,0.0000,0.5000,0.0000,80.0000
276.0000,83.5149,0.0000,0,0.0000,0.5000,0.0000,80.0000
277.0000,83.2397,0.0000,0,0.0000,0.5000,0.0000,80.0000
278.0000,82.9664,0.0000,0,0.0000,0.5000,0.0000,80.0000
279.0000,82.6950,0.0000,0,0.0000,0.5000,0.0000,80.0000
280.0000,82.4256,84.0345,1,0.0000,0.5000,0.0000,80.0000
281.0000,82.1581,0.0000,0,0.0000,0.5000,0.0000,80.0000
282.0000,81.8928,0.0000,0,0.0000,0.5000,0.0000,80.0000
283.0000,81.6295,0.0000,0,0.0000,0.5000,0.0000,80.0000
284.0000,81.3683,0.0000,0,0.0000,0.5000,0.0000,80.0000
285.0000,81.1093,79.4730,1,0.0000,0.5000,0.0000,80.0000
286.0000,80.8525,0.0000,0,0.0000,0.5000,0.0000,80.0000
287.0000,80.5979,0.0000,0,0.0000,0.5000,0.0000,80.0000
288.0000,80.3455,0.0000,0,0.0000,0.5000,0.0000,80.0000
289.0000,80.0955,0.0000,0,0.0000,0.5000,0.0000,80.0000
290.0000,79.8477,79.3245,1,0.0000,0.5000,0.0000,80.0000
291.0000,79.6022,0.0000,0,0.0000,0.5000,0.0000,80.0000
292.0000,79.3591,0.0000,0,0.0000,0.5000,0.0000,80.0000
293.0000,79.1184,0.0000,0,0.0000,0.5000,0.0000,80.0000
294.0000,78.8800,0.0000,0,0.0000,0.5000,0.0000,80.0000
295.0000,78.6440,77.6953,1,0.0000,0.5000,0.0000,80.0000
296.0000,78.4104,0.0000,0,0.0000,0.5000,0.0000,80.0000
297.0000,78.1793,0.0000,0,0.0000,0.5000,0.0000,80.0000
298.0000,77.9506,0.0000,0,0.0000,0.5000,0.0000,80.0000
299.0000,77.7243,0.0000,0,0.0000,0.5000,0.0000,80.0000
300.0000,77.5005,75.8939,1,0.0000,0.5000,0.0000,80.0000
301.0000,77.2791,0.0000,0,0.0000,0.5000,0.0000,80.0000
302.0000,77.0602,0.0000,0,0.0000,0.5000,0.0000,80.0000
303.0000,76.8438,0.0000,0,0.0000,0.5000,0.0000,80.0000
304.0000,76.6299,0.0000,0,0.0000,0.5000,0.0000,80.0000
305.0000,76.4185,77.0235,1,0.0000,0.5000,0.0000,80.0000
306.0000,76.2095,0.0000,0,0.0000,0.5000,0.0000,80.0000
307.0000,76.0031,0.0000,0,0.0000,0.5000,0.0000,80.0000
308.0000,75.7991,0.0000,0,0.0000,0.5000,0.0000,80.0000
309.0000,75.5976,0.0000,0,0.0000,0.5000,0.0000,80.0000
310.0000,75.3986,76.4347,1,0.0000,0.5000,0.0000,80.0000
311.0000,75.2021,0.0000,0,0.0000,0.5000,0.0000,80.0000
312.0000,75.0081,0.0000,0,0.0000,0.5000,0.0000,80.0000
313.0000,74.8166,0.0000,0,0.0000,0.5000,0.0000,80.0000
314.0000,74.6276,0.0000,0,0.0000,0.5000,0.0000,80.0000
315.0000,74.4410,74.8827,1,0.0000,0.5000,0.0000,80.0000
316.0000,74.2569,0.0000,0,0.0000,0.5000,0.0000,80.0000
317.0000,74.0753,0.0000,0,0.0000,0.5000,0.0000,80.0000
318.0000,73.8962,0.0000,0,0.0000,0.5000,0.0000,80.0000
319.0000,73.7195,0.0000,0,0.0000,0.5000,0.0000,80.0000
320.0000,73.5453,73.8474,1,0.0000,0.5000,0.0000,80.0000
321.0000,73.3735,0.0000,0,0.0000,0.5000,0.0000,80.0000
322.0000,73.2042,0.0000,0,0.0000,0.5000,0.0000,80.0000
323.0000,73.0372,0.0000,0,0.0000,0.5000,0.0000,80.0000
324.0000,72.8728,0.0000,0,0.0000,0.5000,0.0000,80.0000
325.0000,72.7107,74.7119,1,0.0000,0.5000,0.0000,80.0000
326.0000,72.5510,0.0000,0,0.0000,0.5000,0.0000,80.0000
327.0000,72.3937,0.0000,0,0.0000,0.5000,0.0000,80.0000
328.0000,72.2388,0.0000,0,0.0000,0.5000,0.0000,80.0000
329.0000,72.0863,0.0000,0,0.0000,0.5000,0.0000,80.0000
330.0000,71.9362,73.3139,1,3.0000,54.5000,0.0000,80.0000
331.0000,71.7884,0.0000,0,3.0000,54.5000,0.0000,80.0000
332.0000,71.6489,0.0000,0,3.0000,54.5000,0.0000,80.0000
333.0000,71.5234,0.0000,0,3.0000,54.5000,0.0000,80.0000
334.0000,71.4171,0.0000,0,3.0000,54.5000,0.0000,80.0000
335.0000,71.3352,67.0294,1,3.0000,0.5000,0.0000,80.0000
336.0000,71.2823,0.0000,0,3.0000,0.5000,0.0000,80.0000
337.0000,71.2631,0.0000,0,3.0000,0.5000,0.0000,80.0000
338.0000,71.2816,0.0000,0,3.0000,0.5000,0.0000,80.0000
339.0000,71.3418,0.0000,0,3.0000,0.5000,0.0000,80.0000
